,,0
duration,headOrient_z,-0.007458928792688857
AU26_JawDrop,gazeUp,-0.007578775944439953
headOrient_z,pause_rate,-0.008020776487081516
headOrient_z,pause_dur,-0.008020776487501848
AU15_LipCornerDepressonr,scroll_dur,-0.008024020944497142
scroll_dur,gazeLeft,-0.008326437293095042
AU5_UpperLipRaiser,AU7_LidTightener,-0.008397907416468503
duration,move_dist,-0.008414236617332925
AU5_UpperLipRaiser,Rclick,-0.008495561086582771
Rclick,AU1_InnerBrowRaiser,-0.008932427461024324
AU5_UpperLipRaiser,backsp_dur,-0.0091673658300149
AU14_Dimpler,backsp_dur,-0.009243584051241883
AU5_UpperLipRaiser,scroll_dur,-0.010150961109862177
AU26_JawDrop,move_duration,-0.010157263524607524
AU23_LipTightener,AU45_BlinkInt,-0.010506069761314544
AU4_BrowLowerer,AU17_ChinRaiser,-0.010507013166605222
